,MSSubClass,MSZoning,LotFrontage,LotArea,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Heating,HeatingQC,CentralAir,Electrical,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,Fence,MiscFeature,MiscVal,SaleType,SaleCondition,SalePrice,count_of_porch,sum_of_area_porch,PC_added,Total_flor_SF
24,20,RL,74.4375,8246,Noune,IR1,Lvl,Inside,Gtl,Sawyer,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,Noune,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,ALQ,GasA,Ex,Y,SBrkr,0,1060,1,0,1,0,3,1,Gd,6,1,TA,Attchd,1968.0,Unf,1,270,TA,TA,Y,406,MnPrv,Noune,0,WD,Normal,11.944714374881176,1,90,0.6533201413105013,1060
25,20,RL,110.0,14230,Noune,Reg,Lvl,Corner,Gtl,NridgHt,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,0,1600,0,0,2,0,3,1,Gd,7,1,Gd,Attchd,2007.0,RFn,3,890,TA,TA,Y,0,Noune,Noune,0,WD,Normal,12.454107814022272,1,56,-1.3838283258524264,1600
26,20,RL,60.0,7200,Noune,Reg,Lvl,Corner,Gtl,NAmes,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,Noune,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,Rec,GasA,TA,Y,SBrkr,0,900,0,1,1,0,3,1,Gd,5,0,Noune,Detchd,2005.0,Unf,2,576,TA,TA,Y,222,Noune,Noune,0,WD,Normal,11.811554895830454,1,32,0.4024755873507075,900
27,20,RL,98.0,11478,Noune,Reg,Lvl,Inside,Gtl,NridgHt,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,0,1704,1,0,2,0,3,1,Gd,7,1,Gd,Attchd,2008.0,RFn,3,772,TA,TA,Y,0,Noune,Noune,0,WD,Normal,12.631343648903034,1,50,1.9577385849957847,1704
28,20,RL,47.0,16321,Noune,IR1,Lvl,CulDSac,Gtl,NAmes,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,Noune,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,Unf,GasA,TA,Y,SBrkr,0,1600,1,0,1,0,2,1,TA,6,2,Gd,Attchd,1957.0,RFn,1,319,TA,TA,Y,288,Noune,Noune,0,WD,Normal,12.242891437918386,1,258,2.147096769932532,1600
29,30,RM,60.0,6324,Noune,IR1,Lvl,Inside,Gtl,BrkSide,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,Noune,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Fa,N,SBrkr,0,520,0,0,1,0,1,1,Fa,4,0,Noune,Detchd,1920.0,Unf,1,240,Fa,TA,Y,49,Noune,Noune,0,WD,Normal,11.134603622683905,1,87,-1.2569687982050068,520
30,70,C (all),50.0,8500,Pave,Reg,Lvl,Inside,Gtl,IDOTRR,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,Noune,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,Unf,GasA,TA,N,SBrkr,0,1317,0,0,1,0,3,1,TA,6,0,Noune,Detchd,1920.0,Unf,1,250,TA,Fa,N,0,MnPrv,Noune,0,WD,Normal,10.596659732783579,2,226,-1.2726139980773943,1317
31,20,RL,74.4375,8544,Noune,IR1,Lvl,CulDSac,Gtl,Sawyer,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,Noune,0.0,TA,TA,CBlock,TA,TA,No,Unf,Unf,GasA,Gd,Y,SBrkr,0,1228,0,0,1,1,3,1,Gd,6,0,Noune,Attchd,1966.0,Unf,1,271,TA,TA,Y,0,MnPrv,Noune,0,WD,Normal,11.914054519303125,1,65,-1.3428354765743884,1228
32,20,RL,85.0,11049,Noune,Reg,Lvl,Corner,Gtl,CollgCr,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Noune,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,GasA,Ex,Y,SBrkr,0,1234,0,0,2,0,3,1,Gd,7,0,Noune,Attchd,2007.0,RFn,2,484,TA,TA,Y,0,Noune,Noune,0,WD,Normal,12.100161978566867,1,30,-1.3435631602893832,1234
33,20,RL,70.0,10552,Noune,IR1,Lvl,Inside,Gtl,NAmes,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,Noune,0.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,Gd,Y,SBrkr,0,1700,0,1,1,1,4,1,Gd,6,1,Gd,Attchd,1959.0,RFn,2,447,TA,TA,Y,0,Noune,Noune,0,WD,Normal,12.016732516077072,1,38,1.4434048655782363,1700
34,120,RL,60.0,7313,Noune,Reg,Lvl,Inside,Gtl,NridgHt,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,0,1561,1,0,2,0,2,1,Ex,6,1,Gd,Attchd,2005.0,Fin,2,556,TA,TA,Y,203,Noune,Noune,0,WD,Normal,12.533579815765737,1,47,1.7958618971497515,1561
35,60,RL,108.0,13418,Noune,Reg,Lvl,Inside,Gtl,NridgHt,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,GasA,Ex,Y,SBrkr,0,2452,0,0,3,1,4,1,Gd,9,1,Gd,BuiltIn,2004.0,Fin,3,691,TA,TA,Y,113,Noune,Noune,0,WD,Normal,12.6410997921206,1,32,-1.3293733278469855,2452
36,20,RL,112.0,10859,Noune,Reg,Lvl,Corner,Gtl,CollgCr,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,Noune,0.0,TA,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,0,1097,0,0,1,1,3,1,TA,6,0,Noune,Attchd,1995.0,Unf,2,672,TA,TA,Y,392,Noune,Noune,0,WD,Normal,11.884495917930655,1,64,-1.3269477154636695,1097
37,20,RL,74.0,8532,Noune,Reg,Lvl,Inside,Gtl,NAmes,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,Gd,Y,SBrkr,0,1297,0,1,1,0,3,1,TA,5,1,TA,Attchd,1954.0,Fin,2,498,TA,TA,Y,0,Noune,Noune,0,WD,Normal,11.938199736300925,0,0,1.9933136572742052,1297
38,20,RL,68.0,7922,Noune,Reg,Lvl,Inside,Gtl,NAmes,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,Noune,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,Unf,GasA,TA,Y,SBrkr,0,1057,1,0,1,0,3,1,Gd,5,0,Noune,Detchd,1953.0,Unf,1,246,TA,TA,Y,0,Noune,Noune,0,WD,Abnorml,11.599112335481124,1,52,0.6934371366676988,1057
39,90,RL,65.0,6040,Noune,Reg,Lvl,Inside,Gtl,Edwards,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,Noune,0.0,TA,TA,PConc,Noune,Noune,Noune,Noune,Noune,GasA,TA,N,FuseP,0,1152,0,0,2,0,2,2,Fa,6,0,Noune,Noune,1955.0,Noune,0,0,Noune,Noune,N,0,Noune,Noune,0,WD,AdjLand,11.314486721293981,0,0,-1.1939028762387944,1152
40,20,RL,84.0,8658,Noune,Reg,Lvl,Inside,Gtl,NAmes,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,Ex,Y,SBrkr,0,1324,0,0,2,0,3,1,TA,6,1,TA,Attchd,1965.0,RFn,2,440,TA,TA,Y,0,GdWo,Noune,0,WD,Abnorml,11.982935344196433,1,138,0.4470413783653556,1324
41,20,RL,115.0,16905,Noune,Reg,Lvl,Inside,Gtl,Timber,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,Noune,0.0,TA,Gd,CBlock,TA,TA,Gd,BLQ,Unf,GasA,Gd,Y,SBrkr,0,1328,0,1,1,1,2,1,TA,5,2,Gd,Attchd,1959.0,RFn,1,308,TA,TA,P,0,Noune,Noune,0,WD,Normal,12.04355959836804,1,104,1.3086077101332128,1328
42,85,RL,71.5,9180,Noune,IR1,Lvl,CulDSac,Gtl,SawyerW,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,Noune,0.0,TA,TA,CBlock,Gd,TA,Av,ALQ,LwQ,GasA,Gd,Y,SBrkr,0,884,1,0,1,0,2,1,Gd,5,0,Noune,Attchd,1983.0,RFn,2,504,TA,Gd,Y,240,MnPrv,Noune,0,WD,Normal,11.87757552297847,0,0,0.9667751851572575,884
43,20,RL,71.68253968253968,9200,Noune,IR1,Lvl,CulDSac,Gtl,CollgCr,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,Noune,0.0,TA,TA,CBlock,Gd,TA,Av,LwQ,BLQ,GasA,TA,Y,SBrkr,0,938,1,0,1,0,3,1,TA,5,0,Noune,Detchd,1977.0,Unf,1,308,TA,TA,Y,145,MnPrv,Noune,0,WD,Normal,11.777218637129327,0,0,0.5356082537287725,938
44,20,RL,70.0,7945,Noune,Reg,Lvl,Inside,Gtl,NAmes,1Fam,1Story,5,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,Noune,0.0,TA,TA,CBlock,TA,TA,No,ALQ,BLQ,GasA,Ex,Y,FuseA,0,1150,1,0,1,0,3,1,TA,6,0,Noune,Attchd,1959.0,RFn,1,300,TA,TA,Y,0,Noune,Noune,0,WD,Normal,11.856522261533737,0,0,0.26414327347039523,1150
45,120,RL,61.0,7658,Noune,Reg,Lvl,Inside,Gtl,NridgHt,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,0,1752,1,0,2,0,2,1,Ex,6,1,Gd,Attchd,2005.0,RFn,2,576,TA,TA,Y,196,Noune,Noune,0,WD,Normal,12.675766851909591,1,82,-0.14909057836566367,1752
46,50,RL,48.0,12822,Noune,IR1,Lvl,CulDSac,Gtl,Mitchel,1Fam,1.5Fin,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,Noune,0.0,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,0,2149,1,0,1,1,1,1,Gd,6,1,Ex,Attchd,2003.0,RFn,2,670,TA,TA,Y,168,Noune,Noune,0,WD,Abnorml,12.387089184491993,2,241,2.3571956687772655,2149
47,20,FV,84.0,11096,Noune,Reg,Lvl,Inside,Gtl,Somerst,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Noune,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,0,1656,0,0,2,0,3,1,Gd,7,0,Noune,Attchd,2006.0,RFn,3,826,TA,TA,Y,0,Noune,Noune,0,WD,Normal,12.428019481065613,1,146,-1.328570110911474,1656
48,190,RM,33.0,4456,Noune,Reg,Lvl,Inside,Gtl,OldTown,2fmCon,2Story,4,5,1920,2008,Gable,CompShg,MetalSd,MetalSd,Noune,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Gd,Y,SBrkr,0,1452,0,0,2,0,2,3,TA,8,0,Noune,Noune,1934.0,Noune,0,0,Noune,Noune,N,0,Noune,Noune,0,New,Partial,11.635151947212842,1,102,-1.2831654119448181,1452
49,20,RL,66.0,7742,Noune,Reg,Lvl,Inside,Gtl,Sawyer,1Fam,1Story,5,7,1966,1966,Gable,CompShg,HdBoard,HdBoard,Noune,0.0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,GasA,Ex,Y,SBrkr,0,955,1,0,1,0,3,1,TA,6,0,Noune,Attchd,1966.0,Unf,1,386,TA,TA,Y,0,MnPrv,Noune,0,WD,Normal,11.751950239425476,0,0,0.7940390540437746,955
50,60,RL,79.87755102040816,13869,Noune,IR2,Lvl,Corner,Gtl,Gilbert,1Fam,2Story,6,6,1997,1997,Gable,CompShg,VinylSd,VinylSd,Noune,0.0,TA,TA,PConc,Gd,TA,Av,GLQ,Unf,GasA,Gd,Y,SBrkr,0,1470,0,1,2,0,3,1,TA,6,0,Noune,Attchd,1997.0,Fin,2,388,TA,TA,Y,0,Noune,Noune,0,WD,Normal,12.083910661257521,1,75,-0.7883842019735586,1470
51,50,RM,52.0,6240,Noune,Reg,Lvl,Inside,Gtl,BrkSide,1Fam,1.5Fin,6,6,1934,1950,Gable,CompShg,Wd Sdng,Wd Sdng,Noune,0.0,TA,TA,PConc,TA,TA,No,Unf,Unf,GasA,TA,Y,SBrkr,360,1176,0,0,1,0,3,1,TA,6,1,Gd,Detchd,1985.0,Unf,2,528,TA,TA,Y,112,MnPrv,Shed,400,WD,Normal,11.648338835562747,0,0,-1.2928678614780817,816
52,90,RM,110.0,8472,Noune,IR2,Bnk,Corner,Mod,IDOTRR,Duplex,1Story,5,5,1963,1963,Gable,CompShg,Wd Sdng,Wd Sdng,Noune,0.0,Fa,TA,CBlock,Gd,TA,Gd,LwQ,GLQ,GasA,TA,N,SBrkr,0,816,1,0,1,0,2,1,TA,5,0,Noune,CarPort,1963.0,Unf,2,516,TA,TA,Y,106,Noune,Noune,0,WD,Normal,11.608244735642321,0,0,0.5473032963346762,816
53,20,RL,68.0,50271,Noune,IR1,Low,Inside,Gtl,Veenker,1Fam,1Story,9,5,1981,1987,Gable,WdShngl,WdShing,Wd Shng,Noune,0.0,Gd,TA,CBlock,Ex,TA,Gd,GLQ,Unf,GasA,Gd,Y,SBrkr,0,1842,2,0,0,1,0,1,Gd,5,1,Gd,Attchd,1981.0,Fin,3,894,TA,TA,Y,857,Noune,Noune,0,WD,Normal,12.861001210669146,1,72,3.5732808026424565,1842
54,80,RL,60.0,7134,Noune,Reg,Bnk,Inside,Mod,NAmes,1Fam,SLvl,5,5,1955,1955,Gable,CompShg,MetalSd,MetalSd,Noune,0.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,TA,Y,SBrkr,0,1360,0,0,1,0,3,1,TA,6,1,TA,Detchd,1962.0,Unf,2,572,TA,TA,Y,0,MnPrv,Noune,0,WD,Normal,11.775297421715827,1,50,-0.1816991033444797,1360
