,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,SaleType,SaleCondition,SalePrice,count_of_porch,sum_of_area_porch
21,45,RM,57.0,7449,Reg,Bnk,Inside,IDOTRR,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,Noune,0.0,TA,PConc,TA,TA,No,Unf,0,0,637,637,Ex,Y,FuseF,1108,0,1108,0,0,1,0,3,1,Gd,6,1,Gd,Attchd,1930.0,Unf,1,280,TA,TA,N,0,WD,Normal,11.845109950883979,1,205
22,20,RL,75.0,9742,Reg,Lvl,Inside,CollgCr,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,Gd,PConc,Gd,TA,No,Unf,0,0,1777,1777,Ex,Y,SBrkr,1795,0,1795,0,0,2,0,3,1,Gd,7,1,Gd,Attchd,2002.0,RFn,2,534,TA,TA,Y,171,WD,Normal,12.345838935721968,1,159
23,120,RM,44.0,4224,Reg,Lvl,Inside,MeadowV,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,Noune,0.0,TA,PConc,Gd,TA,No,GLQ,840,0,200,1040,TA,Y,SBrkr,1060,0,1060,1,0,1,0,3,1,TA,6,1,TA,Attchd,1976.0,Unf,2,572,TA,TA,Y,100,WD,Normal,11.774527900858468,1,110
24,20,RL,74.4375,8246,IR1,Lvl,Inside,Sawyer,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,Noune,0.0,TA,CBlock,TA,TA,Mn,Rec,188,668,204,1060,Ex,Y,SBrkr,1060,0,1060,1,0,1,0,3,1,Gd,6,1,TA,Attchd,1968.0,Unf,1,270,TA,TA,Y,406,WD,Normal,11.944714374881176,1,90
25,20,RL,110.0,14230,Reg,Lvl,Corner,NridgHt,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,Gd,PConc,Gd,TA,No,Unf,0,0,1566,1566,Ex,Y,SBrkr,1600,0,1600,0,0,2,0,3,1,Gd,7,1,Gd,Attchd,2007.0,RFn,3,890,TA,TA,Y,0,WD,Normal,12.454107814022272,1,56
26,20,RL,60.0,7200,Reg,Lvl,Corner,NAmes,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,Noune,0.0,TA,CBlock,TA,TA,Mn,BLQ,234,486,180,900,TA,Y,SBrkr,900,0,900,0,1,1,0,3,1,Gd,5,0,Noune,Detchd,2005.0,Unf,2,576,TA,TA,Y,222,WD,Normal,11.811554895830454,1,32
27,20,RL,98.0,11478,Reg,Lvl,Inside,NridgHt,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,Gd,PConc,Ex,TA,No,GLQ,1218,0,486,1704,Ex,Y,SBrkr,1704,0,1704,1,0,2,0,3,1,Gd,7,1,Gd,Attchd,2008.0,RFn,3,772,TA,TA,Y,0,WD,Normal,12.631343648903034,1,50
28,20,RL,47.0,16321,IR1,Lvl,CulDSac,NAmes,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,Noune,0.0,TA,CBlock,TA,TA,Gd,BLQ,1277,0,207,1484,TA,Y,SBrkr,1600,0,1600,1,0,1,0,2,1,TA,6,2,Gd,Attchd,1957.0,RFn,1,319,TA,TA,Y,288,WD,Normal,12.242891437918386,1,258
29,30,RM,60.0,6324,IR1,Lvl,Inside,BrkSide,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,Noune,0.0,TA,BrkTil,TA,TA,No,Unf,0,0,520,520,Fa,N,SBrkr,520,0,520,0,0,1,0,1,1,Fa,4,0,Noune,Detchd,1920.0,Unf,1,240,Fa,TA,Y,49,WD,Normal,11.134603622683905,1,87
30,70,C (all),50.0,8500,Reg,Lvl,Inside,IDOTRR,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,Noune,0.0,TA,BrkTil,TA,TA,No,Unf,0,0,649,649,TA,N,SBrkr,649,668,1317,0,0,1,0,3,1,TA,6,0,Noune,Detchd,1920.0,Unf,1,250,TA,Fa,N,0,WD,Normal,10.596659732783579,2,226
31,20,RL,74.4375,8544,IR1,Lvl,CulDSac,Sawyer,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,Noune,0.0,TA,CBlock,TA,TA,No,Unf,0,0,1228,1228,Gd,Y,SBrkr,1228,0,1228,0,0,1,1,3,1,Gd,6,0,Noune,Attchd,1966.0,Unf,1,271,TA,TA,Y,0,WD,Normal,11.914054519303125,1,65
32,20,RL,85.0,11049,Reg,Lvl,Corner,CollgCr,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Noune,0.0,Gd,PConc,Ex,TA,Av,Unf,0,0,1234,1234,Ex,Y,SBrkr,1234,0,1234,0,0,2,0,3,1,Gd,7,0,Noune,Attchd,2007.0,RFn,2,484,TA,TA,Y,0,WD,Normal,12.100161978566867,1,30
33,20,RL,70.0,10552,IR1,Lvl,Inside,NAmes,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,Noune,0.0,TA,CBlock,TA,TA,No,Rec,1018,0,380,1398,Gd,Y,SBrkr,1700,0,1700,0,1,1,1,4,1,Gd,6,1,Gd,Attchd,1959.0,RFn,2,447,TA,TA,Y,0,WD,Normal,12.016732516077072,1,38
34,120,RL,60.0,7313,Reg,Lvl,Inside,NridgHt,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,Ex,PConc,Ex,TA,No,GLQ,1153,0,408,1561,Ex,Y,SBrkr,1561,0,1561,1,0,2,0,2,1,Ex,6,1,Gd,Attchd,2005.0,Fin,2,556,TA,TA,Y,203,WD,Normal,12.533579815765737,1,47
35,60,RL,108.0,13418,Reg,Lvl,Inside,NridgHt,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,Gd,PConc,Ex,TA,Av,Unf,0,0,1117,1117,Ex,Y,SBrkr,1132,1320,2452,0,0,3,1,4,1,Gd,9,1,Gd,BuiltIn,2004.0,Fin,3,691,TA,TA,Y,113,WD,Normal,12.6410997921206,1,32
36,20,RL,112.0,10859,Reg,Lvl,Corner,CollgCr,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,Noune,0.0,TA,PConc,Gd,TA,No,Unf,0,0,1097,1097,Ex,Y,SBrkr,1097,0,1097,0,0,1,1,3,1,TA,6,0,Noune,Attchd,1995.0,Unf,2,672,TA,TA,Y,392,WD,Normal,11.884495917930655,1,64
37,20,RL,74.0,8532,Reg,Lvl,Inside,NAmes,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,TA,CBlock,TA,TA,No,Rec,1213,0,84,1297,Gd,Y,SBrkr,1297,0,1297,0,1,1,0,3,1,TA,5,1,TA,Attchd,1954.0,Fin,2,498,TA,TA,Y,0,WD,Normal,11.938199736300925,0,0
38,20,RL,68.0,7922,Reg,Lvl,Inside,NAmes,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,Noune,0.0,TA,CBlock,TA,TA,No,GLQ,731,0,326,1057,TA,Y,SBrkr,1057,0,1057,1,0,1,0,3,1,Gd,5,0,Noune,Detchd,1953.0,Unf,1,246,TA,TA,Y,0,WD,Abnorml,11.599112335481124,1,52
39,90,RL,65.0,6040,Reg,Lvl,Inside,Edwards,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,Noune,0.0,TA,PConc,Noune,Noune,Noune,Noune,0,0,0,0,TA,N,FuseP,1152,0,1152,0,0,2,0,2,2,Fa,6,0,Noune,Noune,1955.0,Noune,0,0,Noune,Noune,N,0,WD,AdjLand,11.314486721293981,0,0
40,20,RL,84.0,8658,Reg,Lvl,Inside,NAmes,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,TA,CBlock,TA,TA,No,Rec,643,0,445,1088,Ex,Y,SBrkr,1324,0,1324,0,0,2,0,3,1,TA,6,1,TA,Attchd,1965.0,RFn,2,440,TA,TA,Y,0,WD,Abnorml,11.982935344196433,1,138
41,20,RL,115.0,16905,Reg,Lvl,Inside,Timber,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,Noune,0.0,TA,CBlock,TA,TA,Gd,BLQ,967,0,383,1350,Gd,Y,SBrkr,1328,0,1328,0,1,1,1,2,1,TA,5,2,Gd,Attchd,1959.0,RFn,1,308,TA,TA,P,0,WD,Normal,12.04355959836804,1,104
42,85,RL,71.5,9180,IR1,Lvl,CulDSac,SawyerW,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,Noune,0.0,TA,CBlock,Gd,TA,Av,ALQ,747,93,0,840,Gd,Y,SBrkr,884,0,884,1,0,1,0,2,1,Gd,5,0,Noune,Attchd,1983.0,RFn,2,504,TA,Gd,Y,240,WD,Normal,11.87757552297847,0,0
43,20,RL,71.68253968253968,9200,IR1,Lvl,CulDSac,CollgCr,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,Noune,0.0,TA,CBlock,Gd,TA,Av,LwQ,280,491,167,938,TA,Y,SBrkr,938,0,938,1,0,1,0,3,1,TA,5,0,Noune,Detchd,1977.0,Unf,1,308,TA,TA,Y,145,WD,Normal,11.777218637129327,0,0
44,20,RL,70.0,7945,Reg,Lvl,Inside,NAmes,1Fam,1Story,5,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,Noune,0.0,TA,CBlock,TA,TA,No,ALQ,179,506,465,1150,Ex,Y,FuseA,1150,0,1150,1,0,1,0,3,1,TA,6,0,Noune,Attchd,1959.0,RFn,1,300,TA,TA,Y,0,WD,Normal,11.856522261533737,0,0
45,120,RL,61.0,7658,Reg,Lvl,Inside,NridgHt,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,Ex,PConc,Ex,TA,No,GLQ,456,0,1296,1752,Ex,Y,SBrkr,1752,0,1752,1,0,2,0,2,1,Ex,6,1,Gd,Attchd,2005.0,RFn,2,576,TA,TA,Y,196,WD,Normal,12.675766851909591,1,82
46,50,RL,48.0,12822,IR1,Lvl,CulDSac,Mitchel,1Fam,1.5Fin,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,Noune,0.0,Gd,PConc,Ex,TA,No,GLQ,1351,0,83,1434,Ex,Y,SBrkr,1518,631,2149,1,0,1,1,1,1,Gd,6,1,Ex,Attchd,2003.0,RFn,2,670,TA,TA,Y,168,WD,Abnorml,12.387089184491993,2,241
47,20,FV,84.0,11096,Reg,Lvl,Inside,Somerst,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Noune,0.0,Gd,PConc,Gd,TA,Av,GLQ,24,0,1632,1656,Ex,Y,SBrkr,1656,0,1656,0,0,2,0,3,1,Gd,7,0,Noune,Attchd,2006.0,RFn,3,826,TA,TA,Y,0,WD,Normal,12.428019481065613,1,146
48,190,RM,33.0,4456,Reg,Lvl,Inside,OldTown,2fmCon,2Story,4,5,1920,2008,Gable,CompShg,MetalSd,MetalSd,Noune,0.0,TA,BrkTil,TA,TA,No,Unf,0,0,736,736,Gd,Y,SBrkr,736,716,1452,0,0,2,0,2,3,TA,8,0,Noune,Noune,1933.0,Noune,0,0,Noune,Noune,N,0,New,Partial,11.635151947212842,1,102
49,20,RL,66.0,7742,Reg,Lvl,Inside,Sawyer,1Fam,1Story,5,7,1966,1966,Gable,CompShg,HdBoard,HdBoard,Noune,0.0,TA,CBlock,TA,TA,No,BLQ,763,0,192,955,Ex,Y,SBrkr,955,0,955,1,0,1,0,3,1,TA,6,0,Noune,Attchd,1966.0,Unf,1,386,TA,TA,Y,0,WD,Normal,11.751950239425476,0,0
50,60,RL,79.87755102040816,13869,IR2,Lvl,Corner,Gilbert,1Fam,2Story,6,6,1997,1997,Gable,CompShg,VinylSd,VinylSd,Noune,0.0,TA,PConc,Gd,TA,Av,GLQ,182,0,612,794,Gd,Y,SBrkr,794,676,1470,0,1,2,0,3,1,TA,6,0,Noune,Attchd,1997.0,Fin,2,388,TA,TA,Y,0,WD,Normal,12.083910661257521,1,75
51,50,RM,52.0,6240,Reg,Lvl,Inside,BrkSide,1Fam,1.5Fin,6,6,1934,1950,Gable,CompShg,Wd Sdng,Wd Sdng,Noune,0.0,TA,PConc,TA,TA,No,Unf,0,0,816,816,TA,Y,SBrkr,816,0,1176,0,0,1,0,3,1,TA,6,1,Gd,Detchd,1985.0,Unf,2,528,TA,TA,Y,112,WD,Normal,11.648338835562747,0,0
52,90,RM,110.0,8472,IR2,Bnk,Corner,IDOTRR,Duplex,1Story,5,5,1963,1963,Gable,CompShg,Wd Sdng,Wd Sdng,Noune,0.0,Fa,CBlock,Gd,TA,Gd,LwQ,104,712,0,816,TA,N,SBrkr,816,0,816,1,0,1,0,2,1,TA,5,0,Noune,CarPort,1963.0,Unf,2,516,TA,TA,Y,106,WD,Normal,11.608244735642321,0,0
53,20,RL,68.0,50271,IR1,Low,Inside,Veenker,1Fam,1Story,9,5,1981,1987,Gable,WdShngl,WdShing,Wd Shng,Noune,0.0,Gd,CBlock,Ex,TA,Gd,GLQ,1810,0,32,1842,Gd,Y,SBrkr,1842,0,1842,2,0,0,1,0,1,Gd,5,1,Gd,Attchd,1981.0,Fin,3,894,TA,TA,Y,857,WD,Normal,12.861001210669146,1,72
54,80,RL,60.0,7134,Reg,Bnk,Inside,NAmes,1Fam,SLvl,5,5,1955,1955,Gable,CompShg,MetalSd,MetalSd,Noune,0.0,TA,CBlock,TA,TA,No,ALQ,384,0,0,384,TA,Y,SBrkr,1360,0,1360,0,0,1,0,3,1,TA,6,1,TA,Detchd,1962.0,Unf,2,572,TA,TA,Y,0,WD,Normal,11.775297421715827,1,50
55,20,RL,100.0,10175,IR1,Lvl,Inside,NAmes,1Fam,1Story,6,5,1964,1964,Gable,CompShg,HdBoard,Plywood,BrkFace,272.0,TA,CBlock,TA,TA,No,BLQ,490,0,935,1425,Gd,Y,SBrkr,1425,0,1425,0,0,2,0,3,1,TA,7,1,Gd,Attchd,1964.0,RFn,2,576,TA,TA,Y,0,WD,Normal,12.103491596905931,1,407
56,160,FV,24.0,2645,Reg,Lvl,Inside,Somerst,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,Gd,PConc,Gd,TA,No,GLQ,649,0,321,970,Ex,Y,SBrkr,983,756,1739,1,0,2,1,3,1,Gd,7,0,Noune,Attchd,1999.0,Fin,2,480,TA,TA,Y,115,WD,Abnorml,12.058158312538197,0,0
57,60,RL,89.0,11645,IR1,Lvl,Corner,CollgCr,1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,Noune,0.0,Gd,PConc,Gd,TA,No,Unf,0,0,860,860,Ex,Y,SBrkr,860,860,1720,0,0,2,1,3,1,Gd,7,0,Noune,Attchd,2004.0,RFn,2,565,TA,TA,Y,0,WD,Normal,12.188422799337028,1,70
58,60,RL,66.0,13682,IR2,HLS,CulDSac,StoneBr,1Fam,2Story,10,5,2006,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,1031.0,Ex,PConc,Ex,TA,Gd,Unf,0,0,1410,1410,Ex,Y,SBrkr,1426,1519,2945,0,0,3,1,3,1,Gd,10,1,Gd,BuiltIn,2006.0,Fin,3,641,TA,TA,Y,192,New,Partial,12.991755706536901,1,37
59,20,RL,60.0,7200,Reg,Bnk,Inside,CollgCr,1Fam,1Story,5,7,1972,1972,Gable,CompShg,HdBoard,HdBoard,Noune,0.0,TA,CBlock,TA,TA,Av,ALQ,632,0,148,780,Ex,Y,SBrkr,780,0,780,0,0,1,0,2,1,TA,4,0,Noune,Detchd,1973.0,Unf,1,352,TA,TA,Y,196,WD,Normal,11.735276702486741,0,0
60,20,RL,63.0,13072,Reg,Lvl,Inside,SawyerW,1Fam,1Story,6,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,Noune,0.0,TA,PConc,Gd,TA,No,ALQ,941,0,217,1158,Ex,Y,SBrkr,1158,0,1158,1,0,1,1,3,1,Gd,5,0,Noune,Detchd,2006.0,Unf,2,576,TA,TA,Y,0,New,Partial,11.970356641102999,1,50
61,75,RM,60.0,7200,Reg,Lvl,Inside,IDOTRR,1Fam,2.5Unf,5,7,1920,1996,Gable,CompShg,MetalSd,MetalSd,Noune,0.0,TA,BrkTil,TA,Fa,No,Unf,0,0,530,530,TA,N,SBrkr,581,530,1111,0,0,1,0,3,1,Fa,6,0,Noune,Detchd,1935.0,Unf,1,288,TA,TA,N,0,WD,Normal,11.522885696764481,1,144
62,120,RL,44.0,6442,IR1,Lvl,Inside,NridgHt,TwnhsE,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,178.0,Gd,PConc,Gd,Gd,Mn,GLQ,24,0,1346,1370,Ex,Y,SBrkr,1370,0,1370,0,0,2,0,2,1,Gd,6,1,Gd,Attchd,2006.0,RFn,2,484,TA,TA,Y,120,WD,Normal,12.218500103788143,1,49
